schema,table,est_rows
auth,audit_log_entries,111
realtime,schema_migrations,63
auth,schema_migrations,62
auth,refresh_tokens,19
auth,mfa_amr_claims,8
auth,sessions,8
auth,users,3
app,certificates,1
app,courses,1
app,app_config,-1
app,bookings,-1
app,certifications,-1
app,drip_plans,-1
app,drip_rules,-1
app,editor_styles,-1
app,enrollments,-1
app,events,-1
app,guest_claim_tokens,-1
app,lesson_media,-1
app,lessons,-1
app,magic_links,-1
app,meditations,-1
app,memberships,-1
app,messages,-1
app,modules,-1
app,notification_jobs,-1
app,notification_templates,-1
app,orders,-1
app,pro_progress,-1
app,pro_requirements,-1
app,profiles,-1
app,purchases,-1
app,services,-1
app,tarot_requests,-1
app,teacher_approvals,-1
app,teacher_directory,-1
app,teacher_permissions,-1
app,teacher_requests,-1
app,teacher_slots,-1
auth,flow_state,-1
auth,identities,-1
auth,instances,-1
auth,mfa_challenges,-1
auth,mfa_factors,-1
auth,oauth_clients,-1
auth,one_time_tokens,-1
auth,saml_providers,-1
auth,saml_relay_states,-1
auth,sso_domains,-1
auth,sso_providers,-1
public,admin_keys,-1
public,availability_slots,-1
public,bookings,-1
public,certificates,-1
public,coupons,-1
public,course_enrollments,-1
public,course_modules,-1
public,course_quizzes,-1
public,courses,-1
public,lesson_media,-1
public,lessons,-1
public,messages,-1
public,modules,-1
public,notifications,-1
public,profiles,-1
public,public_teacher_info,-1
public,quiz_attempts,-1
public,quiz_questions,-1
public,services,-1
public,subscription_plans,-1
public,subscriptions,-1
public,tarot_readings,-1
public,teacher_directory,-1
public,teacher_permissions,-1
public,teacher_requests,-1
public,user_certifications,-1
public,user_roles,-1
realtime,subscription,-1
storage,buckets,-1
storage,buckets_analytics,-1
storage,migrations,-1
storage,objects,-1
storage,prefixes,-1
storage,s3_multipart_uploads,-1
storage,s3_multipart_uploads_parts,-1
supabase_migrations,schema_migrations,-1
supabase_migrations,seed_files,-1
vault,secrets,-1
